FrequencyHz,ModelMaximumSinePeakV,DataSheetMinimumMaximumSinePeakV
0.1,6843662.5529515,4774648.29275686
0.106258612878222,6440572.07936139,4493422.38094981
0.112908928108039,6061223.5609951,4228760.62395007
0.119975460823272,5704218.60102913,3979687.39606684
0.127484260465064,5368241.16795732,3745284.53578417
0.135463006808237,5052052.74428868,3524687.96113163
0.143941111997565,4754487.76098609,3317084.4844089
0.152949828970101,4474449.30081571,3121708.81452259
0.162522366663243,4210905.05476826,2937840.73588483
0.17269401243322,3962883.51664647,2764802.45347428
0.183502262135285,3729470.40179052,2601956.09427245
0.194986958345113,3509805.27673994,2448701.35586507
0.207190437230955,3303078.38740785,2304473.29354036
0.220157684617937,3108527.67407508,2168740.2377268
0.233936501819831,2925435.96220064,2041001.83409347
0.24857768184959,2753128.31869294,1920787.19908809
0.264135196658215,2590969.56389611,1807653.18411357
0.280666396092185,2438361.93011995,1701182.74194415
0.298232219302853,2294742.85808194,1600983.3893595
0.31689741938715,2159582.92313851,1506685.76032919
0.336730802087668,2032383.88366079,1417942.24441451
0.357805479432069,1912676.84436085,1334425.70536803
0.38019913924679,1800020.52779747,1255828.27520754
0.40399433153858,1693999.64769009,1181860.21931867
0.429278772799543,1594223.37804419,1112248.86840292
0.45614566935745,1500323.91244486,1046737.61333363
0.484694060963309,1411955.10820785,985084.959214777
0.515029185882738,1328791.21038971,927063.635155611
0.547262868836999,1250525.65095365,872459.75647929
0.581513933223761,1176869.91866421,821072.036277352
0.617908639137161,1107552.49554495,772711.043403457
0.656581148801848,1042317.85597866,727198.50417116
0.697674021136742,980925.524760247,684366.645181568
0.741338737271618,923149.190630255,644057.574858318
0.787736258953751,868775.872021057,606122.70141004
0.837037621903058,817605.131940426,570422.185074716
0.88942456630305,769448.339098348,536824.422626754
0.945090206751766,724127.972553315,505205.562246499
1.00423974414235,681476.96731483,475449.046963835
1.06709122209747,641338.0984898,447445.184992884
1.13387633074605,603563.401702604,421090.74537391
1.20484126080523,568013.627652299,396288.577431836
1.28024761111613,534557.728796319,372947.252648594
1.36037335297858,503072.376268405,350980.72762912
1.44551385484,473441.50524998,330308.02691859
1.53598297111551,445555.887119067,310852.944501675
1.63211419915304,419312.726799564,292543.762883417
1.73426190860853,394615.283826561,275312.988716205
1.84280264776281,371372.515730851,259097.103998268
1.95813653159592,349498.742428026,243836.33192653
2.08068871673556,328913.330374987,229474.416540688
2.21091096871689,309540.395329588,215958.415346224
2.34928332733104,291308.522617679,203238.504151869
2.49631587620131,274150.503876361,191267.793402112
2.65255062311036,258003.08930303,180002.155327695
2.81856349800971,242806.754496893,169400.061276902
2.99496647607703,228505.481033488,159422.428628015
3.18240983364723,215046.549963311,150032.476718589
3.38158454533369,202380.347473352,141195.591260478
3.59322483117592,190460.18199512,132879.196740781
