Parameter,Value,Unit,UseInAnalysis
SR_modelo,4300000,V/s,"límite no lineal"
Rin,35000000,ohm,"TF"
Rout,20,ohm,"TF"
Ganancia_lazo_abierto,31622.7766016838,V/V,"TF"
GBW_modelo_High,8000000,Hz,"TF PSoC High"
Polo_dominante_modelo,252.98221281347,Hz,"TF"
Cin_max_datasheet,1.8e-11,F,"TF, peor caso"
GBW_min_datasheet,3000000,Hz,"curva conservadora"
SR_min_datasheet,3000000,V/s,"límite conservador"
Ruido_entrada_tipico,4.5e-08,V/sqrt(Hz),"documentado, no inyecta ruido sintético"
Offset_entrada_max,0.003,V,"documentado; eliminado al centrar las señales"
