Band,Capture,Channel,AppliedSignalScale,BandpassLowHz,BandpassHighHz,EstimatedLineF0Hz,RemovedHarmonicsHz,RemovedLineRmsV,LineFitFraction,RawRmsV,ProcessedRmsV,PeakAmplitudeV,ConservativeSlewDemandVPerS,SlewMarginToModel,SlewMarginToDataSheetMinimum
100mHzto1Hz_200s_25s_div,ALL0000_F0000,1,1,0.05,1.5,NaN,,0,1,0.38414829003394,0.379708185599525,0.661792,4.15816177080899,1034110.80112052,721472.651944547
100mHzto1Hz_200s_25s_div,ALL0000_F0000,2,1,0.05,1.5,NaN,,0,1,0.412208452043381,0.405948303170998,0.732008,4.59934191033791,934916.36060692,652267.228330409
100mHzto1Hz_200s_25s_div,ALL0000_F0000,3,1,0.05,1.5,NaN,,0,1,0.127343559491637,0.121139161090884,0.528184,3.31867794828734,1295696.68012501,903974.427994195
100mHzto1Hz_200s_25s_div,ALL0000_F0000,4,1,0.05,1.5,NaN,,0,1,0.622077768720277,0.616095057437457,1.320608,8.29762478214382,518220.588770589,361549.247979481
500mHzto5Hz_40s_5s_div,ALL0000_F0000,1,1,0.25,7.5,NaN,,0,1,0.38268715946057,0.385090443497349,0.616272,19.3607558781309,222098.766549559,154952.627825274
500mHzto5Hz_40s_5s_div,ALL0000_F0000,2,1,0.25,7.5,NaN,,0,1,0.412039178253719,0.414715301161863,0.773328,24.2948156361529,176992.493559046,123483.135041195
500mHzto5Hz_40s_5s_div,ALL0000_F0000,3,1,0.25,7.5,NaN,,0,1,0.11077340301715,0.108201337591714,0.457928,14.3862324067307,298896.881297999,208532.707882325
500mHzto5Hz_40s_5s_div,ALL0000_F0000,4,1,0.25,7.5,NaN,,0,1,0.557110689181243,0.56140393121056,0.9236,29.0157497485553,148195.37793312,103392.124139386
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,1,1,1.25,37.5,NaN,,0,1,0.38228668814909,0.383913044384133,0.626992,98.4876730529786,43660.2862744756,30460.6648426574
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,2,1,1.25,37.5,NaN,,0,1,0.412218619666797,0.410778870995731,0.78036,122.578662157767,35079.5148544338,24474.0801310004
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,3,1,1.25,37.5,NaN,,0,1,0.111908823173153,0.107751623325464,0.415464,65.2609325115515,65889.34350944,45969.3094251907
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,4,1,1.25,37.5,NaN,,0,1,0.550422355592503,0.548766591585209,1.040592,163.455809129215,26306.8044073047,18353.5844702126
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,1,1,5,150,49.115,49.12;98.23;147.3,0.0128680383619014,0.976933333333333,0.382059337464745,0.380150736630494,0.626784,393.820001957525,10918.6937652389,7617.69332458528
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,2,1,5,150,49.115,49.12;98.23;147.3,0.0162001108349013,0.976933333333333,0.413984898739072,0.411427318286234,0.798296,501.584169798024,8572.83833684686,5981.0500024513
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,3,1,5,150,49.115,49.12;98.23;147.3,0.00311620609903714,0.976933333333333,0.109669169122411,0.10453871456025,0.464312,291.735833634717,14739.3617932586,10283.2756697153
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,4,1,5,150,49.115,49.12;98.23;147.3,0.0207736912052401,0.976933333333333,0.542740208114343,0.538284507237446,1.000864,628.861397928499,6837.75473286231,4770.52655781091
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,1,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0347339147121853,0.936766666666667,0.380365565970422,0.381248392587932,0.616832,1937.8348796991,2218.97130919002,1548.11951803955
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,2,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0366556884461374,0.936766666666667,0.412497755630258,0.411389452442903,0.80196,2519.43164447287,1706.73413959587,1190.74474855525
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,3,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0072507121794381,0.936766666666667,0.0995146943923359,0.0934982004586555,0.43416,1363.95386648254,3152.59929655035,2199.4878813142
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,4,1,25,750,50,50;100;150;200;250;300;350;400;450;500;550;600,0.0338747537821134,0.936766666666667,0.438493181046182,0.435645640572896,0.850224,2671.05747230573,1609.84929923208,1123.15067388285
