Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
100mHzto1Hz_200s_25s_div,ALL0000_F0000,1,1.28,0.72,-0.56,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,ALL0000_F0000,2,1.46,0.84,-0.62,0.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,ALL0000_F0000,3,0.84,0.54,-0.3,0.54,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,ALL0000_F0000,4,2.28,1.68,-0.6,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,ALL0000_F0000,1,1.2,0.68,-0.52,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,ALL0000_F0000,2,1.52,0.86,-0.66,0.86,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,ALL0000_F0000,3,0.76,0.38,-0.38,0.38,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
500mHzto5Hz_40s_5s_div,ALL0000_F0000,4,1.84,1.24,-0.6,1.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,1,1.24,0.72,-0.52,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,2,1.56,0.9,-0.66,0.9,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,3,0.82,0.48,-0.34,0.48,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,4,1.92,1.36,-0.56,1.36,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,1,1.2,0.72,-0.48,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,2,1.52,0.92,-0.6,0.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,3,0.82,0.54,-0.28,0.54,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,4,1.72,1.16,-0.56,1.16,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,1,1.16,0.68,-0.48,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,2,1.48,0.92,-0.56,0.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,3,0.76,0.4,-0.36,0.4,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,4,1.6,1.12,-0.48,1.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,1,1.28,0.76,-0.52,0.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,2,1.48,0.82,-0.66,0.82,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,3,0.7,0.34,-0.36,0.36,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,4,0.76,0.68,-0.08,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,1,1.76,0.96,-0.8,0.96,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,2,3.14,1.68,-1.46,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,3,0.84,0.456,-0.384,0.456,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,4,0.688,0.712,0.024,0.712,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,1,0.82,0.48,-0.34,0.48,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,2,1.68,0.86,-0.82,0.86,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,3,0.68,0.352,-0.328,0.352,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,4,0.384,0.496,0.112,0.496,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
20kHzto200kHz_1ms_100us_div,root_F0000,1,0.34,0.26,-0.08,0.26,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
