Band,Capture,Stage,Used,ExclusionReason
100mHzto1Hz_200s_25s_div,ALL0000_F0000,BP,1,usada
100mHzto1Hz_200s_25s_div,ALL0000_F0000,COMP,1,usada
100mHzto1Hz_200s_25s_div,ALL0000_F0000,LP,1,usada
100mHzto1Hz_200s_25s_div,ALL0000_F0000,LP_PGA,1,usada
500mHzto5Hz_40s_5s_div,ALL0000_F0000,BP,1,usada
500mHzto5Hz_40s_5s_div,ALL0000_F0000,COMP,1,usada
500mHzto5Hz_40s_5s_div,ALL0000_F0000,LP,1,usada
500mHzto5Hz_40s_5s_div,ALL0000_F0000,LP_PGA,1,usada
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,BP,1,usada
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,COMP,1,usada
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,LP,1,usada
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,LP_PGA,1,usada
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,BP,1,usada
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,COMP,1,usada
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,LP,1,usada
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,LP_PGA,1,usada
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,BP,1,usada
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,COMP,1,usada
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,LP,1,usada
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,LP_PGA,1,usada
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,BP,1,usada
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,COMP,1,usada
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,LP,1,usada
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,LP_PGA,1,usada
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,BP,1,usada
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,COMP,1,usada
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,LP,1,usada
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,LP_PGA,1,usada
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,BP,1,usada
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,COMP,1,usada
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,LP,1,usada
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,LP_PGA,1,usada
20kHzto200kHz_1ms_100us_div,root_F0000,BP,1,usada
20kHzto200kHz_1ms_100us_div,root_F0000,COMP,1,usada
20kHzto200kHz_1ms_100us_div,root_F0000,LP,1,usada
20kHzto200kHz_1ms_100us_div,root_F0000,LP_PGA,1,usada
