Band,Capture,Points,MinFrequencyHz,MaxFrequencyHz,MedianCombinedCoherence,EstimatedPotOhm,EstimatedRbpTotalOhm,OffsetFromTargetOhm,RelativeComplexResidual,DiagnosticReliable
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,20,11.0972281682251,90.1770849501803,0.9994206781493,1145.32516094083,7945.32516094083,510.786373095337,0.0860738801392519,1
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,20,11.091931647611,90.2042840943251,0.999642810504335,1146.96854513071,7946.96854513071,512.429757285217,0.0709842558163803,1
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,20,11.0963952831892,90.2123913763992,0.999582043391877,592.098248478327,7392.09824847833,-42.440539367168,0.173080401210287,1
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,6,2.77166899103454,22.5535278458859,0.920790088821477,0.00593120644821114,6800.00593120645,-634.532856639047,12.7780148868543,0
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,7,2.77117118659864,22.5565749134045,0.935103804425705,0.00593120644821114,6800.00593120645,-634.532856639047,12.8778160327344,0
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,12,55.4922005157681,187.100686493664,0.999370264564159,925.828316706811,7725.82831670681,291.289528861316,0.0662662483307937,1
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,12,55.504176296233,187.105223697025,0.998835556804814,1093.94987412752,7893.94987412752,459.411086282021,0.114151605800667,1
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,12,55.4985825208362,187.159043226731,0.999192287703122,1110.45406137746,7910.45406137746,475.915273531963,0.112249204783068,1
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
