Band,Capture,MaximumAbsoluteCH1V,MaximumAbsoluteCH2V,MaximumAbsoluteCH3V,MaximumAbsoluteCH4V,RecommendedTargetPeakV,RecommendedGeneratorAmplitudeMultiplier,MultiplierToSaturationThreshold,LimitingChannel
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,1.8,0.64,0.6,2.48,2,0.806451612903226,0.92741935483871,CH4
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,1.8,0.152,0.584,2.48,2,0.806451612903226,0.92741935483871,CH4
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,1.68,1.84,0.584,2.44,2,0.819672131147541,0.942622950819672,CH4
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1.84,2.08,0.64,2.44,2,0.819672131147541,0.942622950819672,CH4
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,2,2.08,0.72,2.44,2,0.819672131147541,0.942622950819672,CH4
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,2.04,2.44,0.72,2.44,2,0.819672131147541,0.942622950819672,CH2
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,1.84,2.04,0.632,2.44,2,0.819672131147541,0.942622950819672,CH4
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,1.68,1.92,0.576,2.4,2,0.833333333333333,0.958333333333333,CH4
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,1.68,1.84,0.576,2.4,2,0.833333333333333,0.958333333333333,CH4
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,0.86,0.04,0.36,0.6,2,2.32558139534884,2.67441860465116,CH1
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,1.52,2.12,0.4,1.2,2,0.943396226415094,1.08490566037736,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,1.52,2.08,0.4,1.24,2,0.961538461538461,1.10576923076923,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,1.52,2.08,0.408,1.2,2,0.961538461538461,1.10576923076923,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,1.04,2.44,0.88,0.24,2,0.819672131147541,0.942622950819672,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,0.68,2.08,0.66,0.184,2,0.961538461538461,1.10576923076923,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,0.7,2.12,0.7,0.136,2,0.943396226415094,1.08490566037736,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,0.48,0.04,0.3,0.36,2,4.16666666666667,4.79166666666667,CH1
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,1.52,2.28,0.82,0.08,2,0.87719298245614,1.00877192982456,CH2
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,0.88,2.04,0.568,0.074,2,0.980392156862745,1.12745098039216,CH2
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,1.06,2.12,0.68,0.08,2,0.943396226415094,1.08490566037736,CH2
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,1.36,2.24,0.86,0.376,2,0.892857142857143,1.02678571428571,CH2
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,1.4,0.128,0.136,0.28,2,1.42857142857143,1.64285714285714,CH1
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,2.04,0.016,0.14,0.14,2,0.980392156862745,1.12745098039216,CH1
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,1.96,0.048,0.156,0.16,2,1.02040816326531,1.1734693877551,CH1
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,1.88,0.016,0.116,0.24,2,1.06382978723404,1.22340425531915,CH1
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,1.72,0.016,0.116,0.12,2,1.16279069767442,1.33720930232558,CH1
