Band,Capture,Channel,AppliedSignalScale,BandpassLowHz,BandpassHighHz,EstimatedLineF0Hz,RemovedHarmonicsHz,RemovedLineRmsV,LineFitFraction,RawRmsV,ProcessedRmsV,PeakAmplitudeV,ConservativeSlewDemandVPerS,SlewMarginToModel,SlewMarginToDataSheetMinimum
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,1,1,1.25,37.5,NaN,,0,1,1.08761107213195,1.07918364464032,1.647424,258.776756787376,16616.6391965918,11593.0040906454
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,2,1,1.25,37.5,NaN,,0,1,0.113233963572066,0.105112005083136,0.6070624,95.3571388055294,45093.6348747773,31460.6754940307
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,3,1,1.25,37.5,NaN,,0,1,0.306319172194233,0.303931003992711,0.4977568,78.1874553077182,54996.0346333912,38369.3264884125
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,4,1,1.25,37.5,NaN,,0,1,1.54234743014147,1.52886854846222,2.321856,364.716287614669,11789.9862057793,8225.57177147396
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,1,1,1.25,37.5,NaN,,0,1,1.08582032912264,1.07583276039752,1.644192,258.269075414555,16649.3026433689,11615.7925418853
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,2,1,1.25,37.5,NaN,,0,1,0.0181077354696825,0.0160150680475605,0.1567296,24.6190279980033,174661.647907007,121856.963656051
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,3,1,1.25,37.5,NaN,,0,1,0.306050212890368,0.303001181643766,0.5125824,80.5162551099712,53405.3650921413,37259.5570410288
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,4,1,1.25,37.5,NaN,,0,1,1.53505187204081,1.51930112481974,2.312512,363.248535526912,11837.6251504018,8258.80824446638
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,1,1,5,150,48.08,48.08;96.16;144.2,0.0385076145330557,0.974,1.0456420372881,1.0451643458859,1.532816,963.096696980979,4464.76455944582,3114.95201821801
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,2,1,5,150,48.08,48.08;96.16;144.2,0.0399472542687514,0.974,1.13603638657219,1.13517837458492,1.672128,1050.62900813236,4092.78628965695,2855.4322951095
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,3,1,5,150,48.08,48.08;96.16;144.2,0.0101078626200666,0.974,0.290735658198027,0.289974073394229,0.4571904,287.261200386356,14968.9550632548,10443.4570208755
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,4,1,5,150,48.08,48.08;96.16;144.2,0.0526727701781949,0.974,1.45915083031193,1.45489460744468,2.18488,1372.80059139505,3132.28303291325,2185.31374389296
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1,1,5,150,49.8,49.8;99.6;149.4,0.040285006639457,0.9788,1.15612526391218,1.16258990578638,1.681488,1056.51006957988,4070.00380196082,2839.53753625174
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,2,1,5,150,49.8,49.8;99.6;149.4,0.0435688037088667,0.9788,1.25626731412705,1.26457604490243,1.873616,1177.22765224966,3652.64950392797,2548.36011901951
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,3,1,5,150,49.8,49.8;99.6;149.4,0.0118234836633869,0.9788,0.321220874623303,0.32286755759242,0.5213568,327.578138555817,13126.6390942853,9158.1202983386
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,4,1,5,150,49.8,49.8;99.6;149.4,0.0686577835255704,0.9788,1.60357569498169,1.61454045968546,2.399408,1507.59250915292,2852.22961370117,1989.92763746593
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,1,1,5,150,49.575,49.57;99.15;148.7,0.0475994925659547,0.978,1.26936927496454,1.26663966563766,1.843424,1158.25745917022,3712.47339350659,2590.09771639995
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,2,1,5,150,49.575,49.57;99.15;148.7,0.0485022666847699,0.978,1.2845575736416,1.28145581482836,1.9076,1198.58042919758,3587.57735004797,2502.96094189393
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,3,1,5,150,49.575,49.57;99.15;148.7,0.0134160348587257,0.978,0.355546782429542,0.354808977238603,0.580752,364.897243351516,11784.1394484246,8221.49263843579
