Band,Capture,StartFrequencyHz,StopFrequencyHz,SweepDurationS,SampleRateHz,RecordDurationS,ValidFraction,InvalidCodeFraction,SaturationFraction,ProbeAttenuation,AnySaturation,SaturatedChannels
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,2.5,25,8,250,9.996,1,0,0.106,1,1,CH4
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,2.5,25,8,250,9.996,1,0,0.1508,1,1,CH4
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,10,100,2,999.999999999999,2.499,1,0,0.0632,1,1,CH4
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,10,100,2,999.999999999999,2.499,1,0,0.1588,1,1,CH4
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,10,100,2,999.999999999999,2.499,1,0,0.1912,1,1,CH4
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,50,500,0.4,5000,0.4998,1,0,0.2124,1,1,CH2;CH4
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,50,500,0.4,5000,0.4998,1,0,0.062,1,1,CH4
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,50,500,0.4,5000,0.4998,1,0,0.0128,1,1,CH4
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,50,500,0.4,5000,0.4998,1,0,0.0092,1,1,CH4
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,250,2500,0.08,25000.000000001,0.09996,1,0,0,1,0,
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,250,2500,0.08,25000.000000001,0.09996,1,0,0,1,0,
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,250,2500,0.08,25000.000000001,0.09996,1,0,0,1,0,
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,250,2500,0.08,25000.000000001,0.09996,1,0,0,1,0,
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,1000,10000,0.02,100000.000000004,0.02499,1,0,0.0396,1,1,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,1000,10000,0.02,100000.000000004,0.02499,1,0,0,1,0,
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,1000,10000,0.02,100000.000000004,0.02499,1,0,0,1,0,
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,1000,10000,0.02,25000.000000001,0.09996,1,0,0,1,0,
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,5000,50000,0.004,500000.000000001,0.004998,1,0,0,1,0,
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,5000,50000,0.004,500000.000000001,0.004998,1,0,0,1,0,
5kHzto50kHz_4ms_500us_div,ALL0003_F0003,5000,50000,0.004,500000.000000001,0.004998,1,0,0,1,0,
5kHzto50kHz_4ms_500us_div,ALL0004_F0004,5000,50000,0.004,500000.000000001,0.004998,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,ALL0001_F0001,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,ALL0002_F0002,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,ALL0003_F0003,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,ALL0004_F0004,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
