Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,1,3.28,1.8,-1.48,1.8,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,2,0.888,0.64,-0.248,0.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,3,0.96,0.6,-0.36,0.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,4,4.48,2.48,-2,2.48,2.3,265,0.147140477512493,1,1,automático,|V| >= 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,1,3.28,1.8,-1.48,1.8,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,2,0.28,0.128,-0.152,0.152,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,3,0.984,0.584,-0.4,0.584,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
2.5Hzto25Hz_8s_1s_div,ALL0001_F0001,4,4.4,2.48,-1.92,2.48,2.3,377,0.209328151027207,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,1,3.04,1.68,-1.36,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,2,3.32,1.84,-1.48,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,3,0.912,0.584,-0.328,0.584,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0001_F0001,4,4.28,2.44,-1.84,2.44,2.3,158,0.087729039422543,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1,3.36,1.84,-1.52,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,2,3.68,2.08,-1.6,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,3,1.024,0.64,-0.384,0.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,4,4.48,2.44,-2.04,2.44,2.3,397,0.220433092726263,1,1,automático,|V| >= 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,1,3.68,2,-1.68,2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,2,3.8,2.08,-1.72,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,3,1.14,0.72,-0.42,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,4,4.72,2.44,-2.28,2.44,2.3,478,0.26540810660744,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,1,3.88,2.04,-1.84,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,2,4.32,2.44,-1.88,2.44,2.3,125,0.0694444444444444,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,3,1.112,0.72,-0.392,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0001_F0001,4,4.84,2.44,-2.4,2.44,2.3,407,0.226111111111111,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,1,3.36,1.84,-1.52,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,2,3.64,2.04,-1.6,2.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,3,1.04,0.632,-0.408,0.632,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0002_F0002,4,4.4,2.44,-1.96,2.44,2.3,155,0.0861111111111111,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,1,3.04,1.68,-1.36,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,2,3.36,1.92,-1.44,1.92,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,3,0.872,0.576,-0.296,0.576,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0003_F0003,4,4.16,2.4,-1.76,2.4,2.3,32,0.0177777777777778,1,1,automático,|V| >= 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,1,3.04,1.68,-1.36,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,2,3.32,1.84,-1.48,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,3,0.864,0.576,-0.288,0.576,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
50Hzto500Hz_400ms_50ms_div,ALL0004_F0004,4,4.16,2.4,-1.76,2.4,2.3,23,0.0127777777777778,1,1,automático,|V| >= 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,1,1.44,0.86,-0.58,0.86,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,2,0.04,0.04,0,0.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,3,0.32,0.36,0.04,0.36,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0001_F0001,4,0.936,0.6,-0.336,0.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,1,2.72,1.52,-1.2,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,2,3.84,2.12,-1.72,2.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,3,0.528,0.4,-0.128,0.4,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0002_F0002,4,1.92,1.2,-0.72,1.2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,1,2.72,1.52,-1.2,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,2,3.76,2.08,-1.68,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,3,0.544,0.4,-0.144,0.4,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0003_F0003,4,1.88,1.24,-0.64,1.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,1,2.72,1.52,-1.2,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,2,3.84,2.08,-1.76,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,3,0.544,0.408,-0.136,0.408,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
250Hzto2.5kHz_80ms_10ms_div,ALL0004_F0004,4,1.8,1.2,-0.6,1.2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,1,1.78,1.04,-0.74,1.04,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,2,4.84,2.44,-2.4,2.44,2.3,99,0.0549694614103276,1,1,automático,|V| >= 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,3,1.42,0.88,-0.54,0.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0001_F0001,4,0.176,0.24,0.064,0.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,1,1.12,0.68,-0.44,0.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,2,3.76,2.08,-1.68,2.08,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,3,0.94,0.66,-0.28,0.66,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
1kHzto10kHz_20ms_2.5ms_div,ALL0002_F0002,4,0.16,0.184,0.024,0.184,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
