Band,Capture,MaximumAbsoluteCH1V,MaximumAbsoluteCH2V,MaximumAbsoluteCH3V,MaximumAbsoluteCH4V,RecommendedTargetPeakV,RecommendedGeneratorAmplitudeMultiplier,MultiplierToSaturationThreshold,LimitingChannel
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,0.2,0.224,0.3,1.32,2,1.51515151515152,1.74242424242424,CH4
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,1.52,1.68,0.984,2.44,2,0.819672131147541,0.942622950819672,CH4
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,0.52,0.6,0.4,1.76,2,1.13636363636364,1.30681818181818,CH4
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,0.488,0.552,0.352,1.88,2,1.06382978723404,1.22340425531915,CH4
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,1.52,1.44,0.328,1.84,2,1.08695652173913,1.25,CH4
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,1.52,1.64,0.384,1.96,2,1.02040816326531,1.1734693877551,CH4
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,1.52,1.64,0.312,1.88,2,1.06382978723404,1.22340425531915,CH4
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,0.72,0.84,0.54,1.68,2,1.19047619047619,1.36904761904762,CH4
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,1.52,1.52,0.144,0.76,2,1.31578947368421,1.51315789473684,CH1
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,1.52,1.48,0.19,0.82,2,1.31578947368421,1.51315789473684,CH1
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,1.52,1.52,0.19,1.06,2,1.31578947368421,1.51315789473684,CH1
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,0.68,0.86,0.38,1.24,2,1.61290322580645,1.85483870967742,CH4
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,1.68,1.88,0.166,0.656,2,1.06382978723404,1.22340425531915,CH2
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,1.68,1.68,0.196,0.676,2,1.19047619047619,1.36904761904762,CH1
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,0.72,0.9,0.48,1.36,2,1.47058823529412,1.69117647058824,CH4
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,1.8,0.64,0.6,2.48,2,0.806451612903226,0.92741935483871,CH4
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1.8,0.152,0.584,2.48,2,0.806451612903226,0.92741935483871,CH4
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1.6,1.84,0.1,0.508,2,1.08695652173913,1.25,CH2
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,1.76,2,0.118,0.364,2,1,1.15,CH2
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,2.12,2.24,0.128,0.384,2,0.892857142857143,1.02678571428571,CH2
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,2.32,2.24,0.152,0.484,2,0.862068965517241,0.991379310344828,CH1
10Hzto100Hz_2s_250ms_div,XD_ALL0003_F0003,1.68,1.88,0.17,0.652,2,1.06382978723404,1.22340425531915,CH2
10Hzto100Hz_2s_250ms_div,XD_ALL0004_F0004,1.68,1.88,0.114,0.792,2,1.06382978723404,1.22340425531915,CH2
10Hzto100Hz_2s_250ms_div,Osciloscopio_ALL0000_F0000,0.72,0.92,0.54,1.16,2,1.72413793103448,1.98275862068966,CH4
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1.68,1.84,0.584,2.44,2,0.819672131147541,0.942622950819672,CH4
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,1.84,2.08,0.64,2.44,2,0.819672131147541,0.942622950819672,CH4
10Hzto100Hz_2s_250ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,2,2.08,0.72,2.44,2,0.819672131147541,0.942622950819672,CH4
50Hzto500Hz_400ms_50ms_div,XD_ALL0000_F0000,1.64,1.88,0.146,0.508,2,1.06382978723404,1.22340425531915,CH2
50Hzto500Hz_400ms_50ms_div,XD_ALL0001_F0001,1.64,1.92,0.132,0.392,2,1.04166666666667,1.19791666666667,CH2
50Hzto500Hz_400ms_50ms_div,XD_ALL0002_F0002,1.72,1.92,0.162,0.752,2,1.04166666666667,1.19791666666667,CH2
50Hzto500Hz_400ms_50ms_div,Osciloscopio_ALL0000_F0000,0.68,0.92,0.4,1.12,2,1.78571428571429,2.05357142857143,CH4
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,2.04,2.44,0.72,2.44,2,0.819672131147541,0.942622950819672,CH2
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,1.84,2.04,0.632,2.44,2,0.819672131147541,0.942622950819672,CH4
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,1.68,1.92,0.576,2.4,2,0.833333333333333,0.958333333333333,CH4
50Hzto500Hz_400ms_50ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,1.68,1.84,0.576,2.4,2,0.833333333333333,0.958333333333333,CH4
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,1.64,1.92,0.18,0.392,2,1.04166666666667,1.19791666666667,CH2
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,1.48,1.76,0.168,0.344,2,1.13636363636364,1.30681818181818,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,1.64,2.32,0.328,0.344,2,0.862068965517241,0.991379310344828,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,1.64,2.36,0.352,0.352,2,0.847457627118644,0.974576271186441,CH2
250Hzto2.5kHz_80ms_10ms_div,Osciloscopio_ALL0000_F0000,0.76,0.82,0.36,0.68,2,2.4390243902439,2.80487804878049,CH2
250Hzto2.5kHz_80ms_10ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,0.86,0.04,0.36,0.6,2,2.32558139534884,2.67441860465116,CH1
250Hzto2.5kHz_80ms_10ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,1.52,2.12,0.4,1.2,2,0.943396226415094,1.08490566037736,CH2
250Hzto2.5kHz_80ms_10ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,1.52,2.08,0.4,1.24,2,0.961538461538461,1.10576923076923,CH2
250Hzto2.5kHz_80ms_10ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,1.52,2.08,0.408,1.2,2,0.961538461538461,1.10576923076923,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,0.88,2.48,0.784,0.078,2,0.806451612903226,0.92741935483871,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,0.56,2.04,0.52,0.064,2,0.980392156862745,1.12745098039216,CH2
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_ALL0000_F0000,0.96,1.68,0.456,0.712,2,1.19047619047619,1.36904761904762,CH2
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1.04,2.44,0.88,0.24,2,0.819672131147541,0.942622950819672,CH2
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,0.68,2.08,0.66,0.184,2,0.961538461538461,1.10576923076923,CH2
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,0.7,2.12,0.7,0.136,2,0.943396226415094,1.08490566037736,CH2
1kHzto10kHz_20ms_2.5ms_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,0.48,0.04,0.3,0.36,2,4.16666666666667,4.79166666666667,CH1
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,1.6,2.44,0.86,0.106,2,0.819672131147541,0.942622950819672,CH2
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,0.88,1.76,0.592,0.108,2,1.13636363636364,1.30681818181818,CH2
5kHzto50kHz_4ms_500us_div,Osciloscopio_ALL0000_F0000,0.48,0.86,0.352,0.496,2,2.32558139534884,2.67441860465116,CH2
5kHzto50kHz_4ms_500us_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1.52,2.28,0.82,0.08,2,0.87719298245614,1.00877192982456,CH2
5kHzto50kHz_4ms_500us_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,0.88,2.04,0.568,0.074,2,0.980392156862745,1.12745098039216,CH2
5kHzto50kHz_4ms_500us_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,1.06,2.12,0.68,0.08,2,0.943396226415094,1.08490566037736,CH2
5kHzto50kHz_4ms_500us_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,1.36,2.24,0.86,0.376,2,0.892857142857143,1.02678571428571,CH2
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,1.64,0.14,0.152,0.102,2,1.21951219512195,1.40243902439024,CH1
20kHzto200kHz_1ms_100us_div,Osciloscopio_root_F0000,0.26,0.46,0.336,0.528,2,3.78787878787879,4.35606060606061,CH4
20kHzto200kHz_1ms_100us_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,1.4,0.128,0.136,0.28,2,1.42857142857143,1.64285714285714,CH1
20kHzto200kHz_1ms_100us_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,2.04,0.016,0.14,0.14,2,0.980392156862745,1.12745098039216,CH1
20kHzto200kHz_1ms_100us_div,Osciloscopio_calibracion_2026-07-21_ALL0002_F0002,1.96,0.048,0.156,0.16,2,1.02040816326531,1.1734693877551,CH1
20kHzto200kHz_1ms_100us_div,Osciloscopio_calibracion_2026-07-21_ALL0003_F0003,1.88,0.016,0.116,0.24,2,1.06382978723404,1.22340425531915,CH1
20kHzto200kHz_1ms_100us_div,Osciloscopio_calibracion_2026-07-21_ALL0004_F0004,1.72,0.016,0.116,0.12,2,1.16279069767442,1.33720930232558,CH1
