Band,Capture,Channel,AppliedSignalScale,BandpassLowHz,BandpassHighHz,EstimatedLineF0Hz,RemovedHarmonicsHz,RemovedLineRmsV,LineFitFraction,RawRmsV,ProcessedRmsV,PeakAmplitudeV,ConservativeSlewDemandVPerS,SlewMarginToModel,SlewMarginToDataSheetMinimum
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,1,1,0.005,0.075,NaN,,0,1,0.105890000585513,0.107837343373987,0.184624,0.0580013402076362,74136217.9668028,51722942.7675368
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,2,1,0.005,0.075,NaN,,0,1,0.112149797470348,0.115397830835057,0.2325856,0.0730689212290774,58848549.118703,41057127.2921184
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,3,1,0.005,0.075,NaN,,0,1,0.11658061588446,0.128540230981427,0.2864,0.0899752135988117,47790939.6155831,33342516.0108719
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,4,1,0.005,0.075,NaN,,0,1,0.594971453755557,0.660499458246448,1.379904,0.433509626905917,9919041.54629815,6920261.54392894
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,1,1,0.0125,0.375,NaN,,0,1,1.00986301791084,1.00852195188884,1.443584,2.26757644461988,1896297.70154047,1322998.39642358
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,2,1,0.0125,0.375,NaN,,0,1,1.09119111069693,1.0856366366821,1.641456,2.57839305539544,1667705.391543,1163515.3894486
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,3,1,0.0125,0.375,NaN,,0,1,0.401627725309098,0.4240463491498,1.0134048,1.59185253739632,2701255.23500639,1884596.67558585
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,4,1,0.0125,0.375,NaN,,0,1,1.53095854940622,1.55370360574067,2.7492,4.31843326162453,995731.493227339,694696.390623725
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,1,1,0.0125,0.375,NaN,,0,1,0.316554707461444,0.315705454293084,0.483072,0.758807723177464,5666784.70534537,3953570.72465956
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,2,1,0.0125,0.375,NaN,,0,1,0.341354610128529,0.338195861545781,0.562512,0.883591783378051,4866500.66341802,3395233.02098932
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,3,1,0.0125,0.375,NaN,,0,1,0.129822919394073,0.137802922750814,0.41136,0.646162776990349,6654669.92702402,4642792.97234234
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,4,1,0.0125,0.375,NaN,,0,1,0.659449617011036,0.700553374967883,1.935568,3.04038310466174,1414295.45290096,986717.757837877
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,1,1,0.0125,0.375,NaN,,0,1,0.311060843021811,0.31077479807178,0.4685184,0.735946981755822,5842812.195168,4076380.60128
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,2,1,0.0125,0.375,NaN,,0,1,0.334763786290931,0.334543533445336,0.5671104,0.890814933207185,4827040.76874732,3367702.86191673
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,3,1,0.0125,0.375,NaN,,0,1,0.129215405644993,0.136405232503158,0.390912,0.614043133700047,7002765.38244055,4885650.26681899
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,4,1,0.0125,0.375,NaN,,0,1,0.656867435222663,0.696288625636814,1.895112,2.97683496846493,1444487.19715806,1007781.76545911
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,1,1,0.05,1.5,NaN,,0,1,1.0045138068857,1.019401349149,1.440576,9.05140595707554,475064.318227674,331440.222019308
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,2,1,0.05,1.5,NaN,,0,1,0.576112189074316,0.563109430364598,1.61616,10.1546327660514,423452.043915918,295431.658545989
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,3,1,0.05,1.5,NaN,,0,1,0.15453180334106,0.138939395519076,0.5460704,3.43106151396568,1253256.45794965,874364.970662548
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,4,1,0.05,1.5,NaN,,0,1,0.75839958210959,0.694758610831377,1.934816,12.156807463296,353711.285876874,246775.315728052
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,1,1,0.05,1.5,NaN,,0,1,1.00469281517487,1.01135019766683,1.462944,9.19194824602653,467800.719162969,326372.594764862
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,2,1,0.05,1.5,NaN,,0,1,0.882316505786897,0.878781627570473,1.753296,11.0162836663367,390331.27052999,272324.142230226
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,3,1,0.05,1.5,NaN,,0,1,0.153074873383714,0.139920417510561,0.5665184,3.55954008712689,1208021.23160545,842805.510422408
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,4,1,0.05,1.5,NaN,,0,1,0.782677789704039,0.716717502120756,2.708752,17.0195907671933,252650.023071566,176267.457956906
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,1,1,0.05,1.5,NaN,,0,1,1.00538163497052,1.02074505738348,1.456992,9.1545507270782,469711.74535972,327705.868855619
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,2,1,0.05,1.5,NaN,,0,1,1.08912201568787,1.10629317434403,1.662288,10.4444635379009,411701.375029568,287233.517462489
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,3,1,0.05,1.5,NaN,,0,1,0.15334880376449,0.14072688645315,0.569328,3.57719332456594,1202059.71829095,838646.315086709
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,4,1,0.05,1.5,NaN,,0,1,0.786005358719647,0.722844749600541,2.681008,16.8452700740309,255264.533076794,178091.53470474
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,1,1,0.05,1.5,NaN,,0,1,0.38414829003394,0.379708185599525,0.661792,4.15816177080899,1034110.80112052,721472.651944547
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,2,1,0.05,1.5,NaN,,0,1,0.412208452043381,0.405948303170998,0.732008,4.59934191033791,934916.36060692,652267.228330409
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,3,1,0.05,1.5,NaN,,0,1,0.127343559491637,0.121139161090884,0.528184,3.31867794828734,1295696.68012501,903974.427994195
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,4,1,0.05,1.5,NaN,,0,1,0.622077768720277,0.616095057437457,1.320608,8.29762478214382,518220.588770589,361549.247979481
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,1,1,0.25,7.5,NaN,,0,1,1.0192594633831,1.01081430644993,1.504048,47.2510614744642,91003.2466111653,63490.6371705805
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,2,1,0.25,7.5,NaN,,0,1,0.76353471167721,0.746770929484485,1.639008,51.490954919749,83509.812678785,58262.6600084546
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,3,1,0.25,7.5,NaN,,0,1,0.0426969916991818,0.0399185777339484,0.1260728,3.96069382297495,1085668.36826841,757443.047629126
500mHzto5Hz_40s_5s_div,XD_ALL0008_F0008,4,1,0.25,7.5,NaN,,0,1,0.209472889090688,0.203733683662991,0.576144,18.1000975780984,237567.780032474,165744.962813354
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,1,1,0.25,7.5,NaN,,0,1,1.02012491520598,1.01315366212349,1.496624,47.0178296358617,91454.6680121594,63805.5823340647
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,2,1,0.25,7.5,NaN,,0,1,0.506514053759617,0.497638375233844,1.069312,33.5934272359541,128001.229817892,89303.1835938783
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,3,1,0.25,7.5,NaN,,0,1,0.04186600311661,0.0409165803112989,0.1823952,5.73011420370041,750421.343648462,523549.774638462
500mHzto5Hz_40s_5s_div,XD_ALL0009_F0009,4,1,0.25,7.5,NaN,,0,1,0.203654515294898,0.209016540509627,0.42128,13.2349015310431,324898.526061123,226673.390275202
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,1,1,0.25,7.5,NaN,,0,1,1.0196635523544,1.01506858719725,1.5052,47.2872526218336,90933.597567785,63442.0448147337
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,2,1,0.25,7.5,NaN,,0,1,0.805000363766377,0.796128115913008,1.577344,49.5537232258394,86774.5089587496,60540.3550874997
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,3,1,0.25,7.5,NaN,,0,1,0.0423092835656668,0.0407548262067014,0.1595304,5.01179532664241,857975.978616176,598587.892057797
500mHzto5Hz_40s_5s_div,XD_ALL0010_F0010,4,1,0.25,7.5,NaN,,0,1,0.20728650719234,0.210886730758861,0.648456,20.3718460577622,211075.618174602,147262.059191583
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,1,1,0.25,7.5,NaN,,0,1,0.38268715946057,0.385090443497349,0.616272,19.3607558781309,222098.766549559,154952.627825274
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,2,1,0.25,7.5,NaN,,0,1,0.412039178253719,0.414715301161863,0.773328,24.2948156361529,176992.493559046,123483.135041195
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,3,1,0.25,7.5,NaN,,0,1,0.11077340301715,0.108201337591714,0.457928,14.3862324067307,298896.881297999,208532.707882325
500mHzto5Hz_40s_5s_div,Osciloscopio_ALL0000_F0000,4,1,0.25,7.5,NaN,,0,1,0.557110689181243,0.56140393121056,0.9236,29.0157497485553,148195.37793312,103392.124139386
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,1,1,1.25,37.5,NaN,,0,1,1.07618296151537,1.06841540030931,1.640688,257.718668381647,16684.860382843,11640.6002670998
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,2,1,1.25,37.5,NaN,,0,1,1.17056630681735,1.16261187849398,1.838688,288.820435652185,14888.1431824246,10387.0766389009
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,3,1,1.25,37.5,NaN,,0,1,0.0328522976633294,0.0296909724018828,0.1355232,21.287934475549,201992.354163759,140924.898253786
2.5Hzto25Hz_8s_1s_div,XD_ALL0005_F0005,4,1,1.25,37.5,NaN,,0,1,0.153475717586334,0.150290479716474,0.4669056,73.3413601439967,58629.9462071262,40904.6136328788
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,1,1,1.25,37.5,NaN,,0,1,1.07746972290455,1.06645381298244,1.636832,257.112969318034,16724.1660792348,11668.0228459777
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,2,1,1.25,37.5,NaN,,0,1,1.0758696010205,1.06413853200434,1.64096,257.761394041735,16682.0947566095,11638.6707604253
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,3,1,1.25,37.5,NaN,,0,1,0.0335116886975276,0.0306872473691408,0.1617992,25.4153589038353,169189.03314606,118038.86033446
2.5Hzto25Hz_8s_1s_div,XD_ALL0007_F0007,4,1,1.25,37.5,NaN,,0,1,0.15158105170027,0.149536783493785,0.3196112,50.2044098962509,85649.8464753613,59755.7068432753
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,1,1,1.25,37.5,NaN,,0,1,0.38228668814909,0.383913044384133,0.626992,98.4876730529786,43660.2862744756,30460.6648426574
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,2,1,1.25,37.5,NaN,,0,1,0.412218619666797,0.410778870995731,0.78036,122.578662157767,35079.5148544338,24474.0801310004
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,3,1,1.25,37.5,NaN,,0,1,0.111908823173153,0.107751623325464,0.415464,65.2609325115515,65889.34350944,45969.3094251907
2.5Hzto25Hz_8s_1s_div,Osciloscopio_ALL0000_F0000,4,1,1.25,37.5,NaN,,0,1,0.550422355592503,0.548766591585209,1.040592,163.455809129215,26306.8044073047,18353.5844702126
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,1,1,1.25,37.5,NaN,,0,1,1.08761107213195,1.07918364464032,1.647424,258.776756787376,16616.6391965918,11593.0040906454
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,2,1,1.25,37.5,NaN,,0,1,0.113233963572066,0.105112005083136,0.6070624,95.3571388055294,45093.6348747773,31460.6754940307
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,3,1,1.25,37.5,NaN,,0,1,0.306319172194233,0.303931003992711,0.4977568,78.1874553077182,54996.0346333912,38369.3264884125
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0000_F0000,4,1,1.25,37.5,NaN,,0,1,1.54234743014147,1.52886854846222,2.321856,364.716287614669,11789.9862057793,8225.57177147396
2.5Hzto25Hz_8s_1s_div,Osciloscopio_calibracion_2026-07-21_ALL0001_F0001,1,1,1.25,37.5,NaN,,0,1,1.08582032912264,1.07583276039752,1.644192,258.269075414555,16649.3026433689,11615.7925418853
