Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,1,0.36,0.2,-0.16,0.2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,2,0.448,0.224,-0.224,0.224,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,3,0.52,0.3,-0.22,0.3,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10mHzto50mHz_400s_50s_div,XD_ALL0017_F0017,4,2.56,1.32,-1.24,1.32,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,1,2.88,1.52,-1.36,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,2,3.2,1.68,-1.52,1.68,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,3,1.968,0.984,-0.984,0.984,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0014_F0014,4,4.88,2.44,-2.44,2.44,2.3,563,0.312604108828429,1,1,automático,|V| >= 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,1,0.96,0.52,-0.44,0.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,2,1.08,0.6,-0.48,0.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,3,0.72,0.4,-0.32,0.4,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0015_F0015,4,3.36,1.76,-1.6,1.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,1,0.936,0.488,-0.448,0.488,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,2,1.096,0.544,-0.552,0.552,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,3,0.688,0.336,-0.352,0.352,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
25mHzto250mHz_400s_50s_div,XD_ALL0016_F0016,4,3.4,1.88,-1.52,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,1,2.88,1.52,-1.36,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,2,2.4,1.44,-0.96,1.44,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,3,0.64,0.312,-0.328,0.328,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0011_F0011,4,2.96,1.84,-1.12,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,1,2.88,1.52,-1.36,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,2,3.16,1.64,-1.52,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,3,0.64,0.256,-0.384,0.384,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0012_F0012,4,2.96,1.96,-1,1.96,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,1,2.88,1.52,-1.36,1.52,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,2,3.24,1.64,-1.6,1.64,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,3,0.56,0.248,-0.312,0.312,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,XD_ALL0013_F0013,4,2.92,1.88,-1.04,1.88,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,1,1.28,0.72,-0.56,0.72,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
100mHzto1Hz_200s_25s_div,Osciloscopio_ALL0000_F0000,2,1.46,0.84,-0.62,0.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
