Band,Capture,MaximumAbsoluteCH1V,MaximumAbsoluteCH2V,MaximumAbsoluteCH3V,MaximumAbsoluteCH4V,RecommendedTargetPeakV,RecommendedGeneratorAmplitudeMultiplier,MultiplierToSaturationThreshold,LimitingChannel
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1.6,1.84,0.1,0.508,2,1.08695652173913,1.25,CH2
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,1.76,2,0.118,0.364,2,1,1.15,CH2
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,2.12,2.24,0.128,0.384,2,0.892857142857143,1.02678571428571,CH2
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,2.32,2.24,0.152,0.484,2,0.862068965517241,0.991379310344828,CH1
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,1.64,1.92,0.18,0.392,2,1.04166666666667,1.19791666666667,CH2
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,1.48,1.76,0.168,0.344,2,1.13636363636364,1.30681818181818,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,1.64,2.32,0.328,0.344,2,0.862068965517241,0.991379310344828,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,1.64,2.36,0.352,0.352,2,0.847457627118644,0.974576271186441,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,0.88,2.48,0.784,0.078,2,0.806451612903226,0.92741935483871,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,0.56,2.04,0.52,0.064,2,0.980392156862745,1.12745098039216,CH2
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,1.6,2.44,0.86,0.106,2,0.819672131147541,0.942622950819672,CH2
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,0.88,1.76,0.592,0.108,2,1.13636363636364,1.30681818181818,CH2
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,1.64,0.14,0.152,0.102,2,1.21951219512195,1.40243902439024,CH1
