Band,Capture,StartFrequencyHz,StopFrequencyHz,SweepDurationS,SampleRateHz,RecordDurationS,ValidFraction,InvalidCodeFraction,SaturationFraction,ProbeAttenuation,AnySaturation,SaturatedChannels
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,10,100,2,999.999999999999,2.499,1,0,0,1,0,
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,10,100,2,999.999999999999,2.499,1,0,0,1,0,
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,10,100,2,999.999999999999,2.499,1,0,0,1,0,
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,10,100,2,999.999999999999,2.499,1,0,0.0032,1,1,CH1
100Hzto1kHz_200ms_25ms_div,ALL0006_F0006,100,1000,0.2,10000,0.2499,1,0,0,1,0,
100Hzto1kHz_200ms_25ms_div,ALL0007_F0007,100,1000,0.2,10000,0.2499,1,0,0,1,0,
250Hzto2.5kHz_80ms_10ms_div,ALL0005_F0005,250,2500,0.08,25000.000000001,0.09996,1,0,0.0012,1,1,CH2
250Hzto2.5kHz_80ms_10ms_div,ALL0006_F0006,250,2500,0.08,25000.000000001,0.09996,1,0,0.0012,1,1,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0003_F0003,1000,10000,0.02,100000.000000004,0.02499,1,0,0.0412,1,1,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0004_F0004,1000,10000,0.02,100000.000000004,0.02499,1,0,0,1,0,
5kHzto50kHz_4ms_500us_div,ALL0001_F0001,5000,50000,0.004,500000.000000001,0.004998,1,0,0.0096,1,1,CH2
5kHzto50kHz_4ms_500us_div,ALL0002_F0002,5000,50000,0.004,500000.000000001,0.004998,1,0,0,1,0,
20kHzto200kHz_1ms_100us_div,ALL0000_F0000,20000,200000,0.001,2499999.99999994,0.0009996,1,0,0,1,0,
