Band,Capture,Channel,PeakToPeakV,PositivePeakV,NegativePeakV,MaximumAbsoluteV,ThresholdV,SamplesAtOrBeyondThreshold,ThresholdFraction,AutoSaturated,FinalSaturated,DecisionSource,Reason
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,1,3.2,1.6,-1.6,1.6,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,2,3.6,1.84,-1.76,1.84,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,3,0.19,0.09,-0.1,0.1,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0002_F0002,4,0.804,0.508,-0.296,0.508,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,1,3.52,1.76,-1.76,1.76,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,2,3.92,2,-1.92,2,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,3,0.222,0.118,-0.104,0.118,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0003_F0003,4,0.676,0.364,-0.312,0.364,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,1,4.24,2.12,-2.12,2.12,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,2,4.32,2.24,-2.08,2.24,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,3,0.24,0.112,-0.128,0.128,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0004_F0004,4,0.736,0.384,-0.352,0.384,2.3,0,0,0,0,automático,|V| < 2.3 V durante el sweep
10Hzto100Hz_2s_250ms_div,ALL0005_F0005,1,4.64,2.32,-2.32,2.32,2.3,8,0.00444197667962243,1,1,automático,|V| >= 2.3 V durante el sweep
